Depth,Age,AchSp2,AchSub,AmpAcu,AmpSub,AmpGal3,AmpCar,AmpCof,AmpCoS,AmpMic,AmpPse,AmpSp7,AnoSph,CalSp2,CamCly,ChaSp1,Cra1,DipSp2,Falpse,FracSu,PseGeo,FraSop,FraSp5,FraSp1,FraS2b,FraSp4,FraSp6,PseDia,HyaHus,SynIsa,MasBra,MasLan,NavAtw,NavDar,NavLag,NavGal,NavIsm,NavWil,NavSp1,NavSp2,NavSp3,NavIsd,NavIsf,NitAmp,NitcVa,NitVit,NitCom,NitCon,NitFru,NitMic,NitNan,NitPal,NitSp7,ParSul,ParSp1,ParS1b,PlaAto,RhoSp5,SemPus,StaPun,UnkSp1,Ti,d13C
133,868.5753218,0,0,0.3155,0,0,0.0625,0.0119,0,0,0,0,0.0208,0,0.0089,0,0,0,0,0,0.0179,0,0,0,0,0,0,0,0.0119,0,0,0,0,0.0119,0,0.4107,0,0,0,0,0.006,0,0,0,0,0,0.0417,0.003,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0.491799539,-10.60569337
137,890.5372385,0,0.003,0.1721,0.0059,0,0.0801,0.0208,0,0,0,0,0.0297,0,0.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.5638,0,0,0,0,0,0,0,0,0,0,0.0178,0,0,0,0,0,0,0,0,0,0,0,0.0297,0,0,0.635726309,-10.3967869
141,912.030522,0,0.003,0.2143,0.003,0,0.0476,0,0,0,0.0179,0,0.0089,0,0.003,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.0298,0,0.5625,0,0,0,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327,0,0,0.783836573,-11.4534044
145,933.0699378,0,0,0.1875,0.0119,0,0.0149,0,0,0,0.0298,0,0.006,0,0.0089,0,0,0,0,0.0119,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.6012,0,0,0,0,0.0119,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0.006,0.0119,0,0,1.042119032,-13.63808407
149,953.6462337,0,0,0.1322,0.0235,0,0.0029,0,0,0,0.0088,0,0.0147,0,0.0029,0.0059,0,0,0,0.3627,0.0264,0,0,0,0,0,0,0.0059,0.0029,0,0,0,0.0147,0.0059,0,0.1791,0,0.0059,0.0235,0,0.0029,0,0.0059,0.0382,0.0029,0,0.0176,0,0.0382,0.0176,0.0059,0.0323,0,0,0,0,0,0,0,0.0059,0,0.918198743,-24.47105127
153,973.7668728,0,0,0.0625,0.0057,0,0.0085,0,0,0,0.0028,0,0.0028,0,0.0014,0,0,0,0,0.5554,0.0028,0,0,0,0,0,0,0.0028,0,0,0,0,0.044,0,0,0.1463,0,0,0.0114,0,0,0,0.0028,0.0057,0.0057,0.0043,0.0028,0,0.0227,0,0.0128,0.0526,0,0,0,0,0,0.0043,0,0,0,0.974449746,-24.53213278
157,993.4726459,0,0,0.0585,0,0,0.0205,0,0,0,0.0058,0.0058,0,0,0,0,0,0,0,0.1813,0,0,0,0,0,0,0,0,0.0117,0,0,0,0.0848,0,0,0.4561,0,0,0.0292,0,0,0,0,0,0,0,0.0117,0,0.0117,0.0029,0,0.0906,0,0,0,0,0,0,0.0058,0,0,2.131932149,-24.96308069
161,1012.805024,0,0,0.1003,0,0,0.0032,0,0,0,0.0032,0,0.0097,0.0032,0,0,0,0,0,0.0841,0.0194,0,0,0,0,0,0,0.0097,0,0,0,0,0.3528,0.0097,0,0.0453,0,0,0.0065,0,0,0,0,0.0081,0,0,0.0146,0,0,0.0388,0.0162,0.2104,0,0,0,0,0,0,0.0065,0.0032,0,2.750023196,-24.41612119
165,1031.805513,0,0,0.06,0.012,0,0.003,0,0,0,0.036,0,0.003,0,0.003,0,0,0,0,0.1379,0,0.036,0,0,0,0,0,0,0,0,0,0,0.1019,0,0,0.3838,0,0,0.09,0,0,0,0,0.003,0,0,0,0,0.021,0.012,0.0015,0.066,0.009,0,0,0,0,0.009,0,0,0,2.514270274,-24.5154382
169,1050.515083,0,0,0.126,0.0054,0,0.0107,0,0,0,0,0,0.0617,0,0.0054,0,0,0,0,0.3378,0.0134,0,0,0,0,0,0,0,0,0,0,0,0.0349,0.0375,0,0.1206,0,0.0054,0,0,0,0,0,0.0804,0,0,0,0,0.0241,0.0054,0.0295,0.0054,0,0,0,0,0,0,0.067,0,0,5.957478347,-24.68762459
173,1068.975207,0,0,0.0991,0,0,0,0,0,0,0.003,0,0.036,0,0,0,0,0,0,0.2162,0.006,0,0,0,0,0,0,0,0,0,0,0,0.1381,0.006,0,0.1291,0,0.015,0,0,0,0,0.018,0.0736,0.0045,0,0,0,0.03,0.018,0.0045,0.1216,0,0,0,0,0,0,0.024,0,0,3.260983568,-25.45162027
177,1087.227157,0,0,0.1495,0.0272,0,0,0,0.0163,0,0.0027,0,0.0027,0,0.0054,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0.1386,0,0,0.0136,0,0,0.0408,0,0.0054,0,0.0815,0.1617,0.0095,0.019,0,0,0.0082,0,0.1821,0.0571,0,0,0,0,0,0,0.0027,0,0,1.178483163,-25.526488
181,1105.312313,0,0.0024,0.2012,0,0,0.0024,0,0.0703,0,0.0242,0,0.0024,0,0.0024,0,0,0,0,0.0315,0.0048,0,0,0,0,0,0,0,0,0,0,0,0.1067,0,0,0.1503,0,0,0,0,0,0,0.0242,0.1455,0.0048,0.0218,0,0,0.0242,0.0315,0.0618,0.063,0,0,0,0,0,0,0,0.0048,0,0.911583622,-26.12752212
185,1123.271932,0,0,0.0666,0.0107,0,0,0.0133,0,0,0,0,0.008,0,0.0027,0,0,0,0,0.0666,0,0,0,0,0,0,0,0,0,0,0,0,0.4927,0,0,0.0666,0,0,0.0053,0,0,0,0.0453,0,0,0.0053,0,0,0.1252,0,0.024,0.032,0,0,0,0,0,0.0107,0,0,0,0.90757561,-25.80754438
203,1203.644551,0,0,0.0827,0,0,0,0,0,0,0,0,0.0029,0,0.0114,0,0,0,0,0.0342,0.0086,0.0057,0,0,0,0,0,0,0.0029,0,0,0,0.0143,0.0029,0,0.0057,0,0,0,0,0,0,0.02,0.0699,0.03,0.3138,0.0057,0.0029,0.0086,0.0171,0.0713,0.2725,0,0,0,0,0,0,0,0,0,0.754581947,NA
207,1221.652302,0,0.0099,0.0197,0,0,0.0033,0,0,0,0,0,0.0132,0,0.0033,0,0,0,0,0.0263,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0,0,0,0,0,0,0.1069,0.0214,0.25,0,0,0,0,0,0.5066,0,0,0,0,0,0,0,0.0099,0,0.598096834,-26.04585029
211,1239.803082,0,0,0.0233,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0.0129,0.0413,0,0,0,0,0,0,0,0.0052,0,0,0,0.0026,0.0155,0,0.0155,0,0,0,0,0.0026,0,0,0.1008,0.0103,0.1357,0,0,0,0,0.4664,0.1034,0.0375,0,0,0,0,0,0,0.0078,0,0.446782611,-26.33869144
215,1258.138211,0,0.0143,0.0856,0,0,0.0086,0,0,0,0.0371,0,0.0428,0,0,0.0029,0,0,0,0.0756,0.0514,0,0,0,0,0.0086,0,0,0,0,0,0,0.0143,0.0314,0,0.0514,0,0,0,0,0.0057,0,0,0.0157,0.0499,0.0114,0,0,0.0114,0.067,0.3181,0.0556,0,0,0,0,0,0,0,0,0,0.401325953,-26.28096999
219,1276.699011,0,0.0067,0.2367,0.01,0,0,0,0,0,0.0133,0,0.0633,0,0.01,0,0,0,0,0.0967,0.0233,0,0,0,0,0,0,0,0,0,0,0,0.0233,0.0333,0,0.0267,0,0.0067,0,0.06,0,0.0033,0,0.015,0.0133,0,0,0,0.0167,0,0.0233,0.06,0.2433,0,0,0,0,0,0,0,0,0.487182184,-26.11807851
223,1295.526804,0,0.0033,0.1277,0.0098,0,0.0131,0,0,0,0.0033,0,0.0164,0,0.0065,0,0,0,0,0.4746,0.0033,0,0,0,0,0,0,0,0,0,0,0,0.0949,0,0,0.0949,0,0,0.0524,0,0,0,0.0065,0.0082,0,0,0,0,0.0229,0.0196,0,0.0262,0,0,0,0,0,0,0.0065,0,0,1.068765705,-24.23346414
